"error(radius), created by Plot Digitizer, 2.6.8"
"Date: 6/1/16, 10:52:49 PM"


70
radius,error
0.193874,12.5690,
0.180527,-0.240758,
0.391231,18.4779,
0.420381,1.06059,
0.610639,20.5460,
0.616934,8.50639,
0.845003,32.3500,
0.830584,21.5895,
1.04423,34.6725,
1.01017,23.1418,
1.24735,29.5664,
1.26954,25.4695,
1.50484,35.4804,
1.48841,28.5623,
1.70045,44.7193,
1.74268,40.6241,
1.93856,49.3508,
1.97999,46.7926,
2.13887,49.6240,
2.14061,46.2939,
2.37832,51.6939,
2.37939,49.6446,
2.55724,54.5270,
2.57835,52.4795,
2.81566,58.6479,
2.81727,55.5739,
3.01516,60.4581,
2.99673,57.3825,
3.23538,60.9893,
3.23698,57.9153,
3.47550,61.7783,
3.45719,58.4465,
3.67567,62.3077,
3.71763,58.7249,
3.89548,63.6074,
3.89722,60.2773,
4.11489,65.6755,
4.11676,62.0892,
4.35635,63.9029,
4.31787,60.8255,
4.55759,62.3830,
4.57937,59.0547,
4.79851,61.6351,
4.82016,58.5629,
4.97743,64.4683,
4.99815,63.1892,
5.21648,67.3066,
5.21769,65.0011,
5.43643,68.3501,
5.43723,66.8131,
5.65530,71.4428,
5.65624,69.6497,
5.87444,74.0233,
5.87565,71.7178,
6.07434,75.0650,
6.09546,73.0175,
6.31446,75.8541,
6.29536,74.0592,
6.53494,75.8729,
6.51584,74.0780,
6.71467,77.1691,
6.73578,75.1215,
6.95452,78.4704,
6.95586,75.9088,
7.41552,78.5098,
7.39709,75.4342,
7.81600,79.3125,
7.85823,75.2174,
8.25629,80.6310,
8.25870,76.0201,
